Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01341","Apples","2024","2024","7021","Annual value","USD","839.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01343","Apricots","2024","2024","7021","Annual value","USD","1850.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01216","Artichokes","2024","2024","7021","Annual value","USD","807.8","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","239.3","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01212","Cabbages","2024","2024","7021","Annual value","USD","1034.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2024","2024","7021","Annual value","USD","382.3","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2024","2024","7021","Annual value","USD","481.4","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01344.02","Cherries","2024","2024","7021","Annual value","USD","6675.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","7021","Annual value","USD","1469.2","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2024","2024","7021","Annual value","USD","1106.5","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01330","Grapes","2024","2024","7021","Annual value","USD","3093.6","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2024","2024","7021","Annual value","USD","1826.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01214","Lettuce and chicory","2024","2024","7021","Annual value","USD","619.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","209.2","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","7021","Annual value","USD","5549.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21121","Meat of chickens, fresh or chilled","2024","2024","7021","Annual value","USD","1336.2","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21122","Meat of ducks, fresh or chilled","2024","2024","7021","Annual value","USD","1980.3","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","7021","Annual value","USD","2269","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21114","Meat of rabbits and hares, fresh or chilled","2024","2024","7021","Annual value","USD","2432.4","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21115","Meat of sheep, fresh or chilled","2024","2024","7021","Annual value","USD","10300.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2024","2024","7021","Annual value","USD","1595.5","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01270","Mushrooms and truffles","2024","2024","7021","Annual value","USD","1718.2","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0117","Oats","2024","2024","7021","Annual value","USD","288.7","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01253.01","Onions and shallots, green","2024","2024","7021","Annual value","USD","543.2","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01345","Peaches and nectarines","2024","2024","7021","Annual value","USD","1456.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01342.01","Pears","2024","2024","7021","Annual value","USD","1257.3","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01510","Potatoes","2024","2024","7021","Annual value","USD","936","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2024","2024","7021","Annual value","USD","499.9","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","02292","Raw milk of goats","2024","2024","7021","Annual value","USD","924.6","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0114","Sorghum","2024","2024","7021","Annual value","USD","215.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01354","Strawberries","2024","2024","7021","Annual value","USD","5576.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01801","Sugar beet","2024","2024","7021","Annual value","USD","53.1","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01234","Tomatoes","2024","2024","7021","Annual value","USD","931.6","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01191","Triticale","2024","2024","7021","Annual value","USD","198","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01376","Walnuts, in shell","2024","2024","7021","Annual value","USD","2876.5","A","Official figure"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2024","2024","7021","Annual value","USD","231.3","A","Official figure"
