Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01341","Apples","2024","2024","7021","Annual value","USD","2187.9","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01379.01","Areca nuts","2024","2024","7021","Annual value","USD","6765.8","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01312","Bananas","2024","2024","7021","Annual value","USD","1235.7","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01212","Cabbages","2024","2024","7021","Annual value","USD","602.1","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2024","2024","7021","Annual value","USD","904","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2024","2024","7021","Annual value","USD","1304.9","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","7021","Annual value","USD","1818","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01657","Ginger, raw","2024","2024","7021","Annual value","USD","2560.2","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01252","Green garlic","2024","2024","7021","Annual value","USD","3083.9","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2024","2024","7021","Annual value","USD","2991.5","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01316","Mangoes, guavas and mangosteens","2024","2024","7021","Annual value","USD","2072.7","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","7021","Annual value","USD","1087.8","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01323","Oranges","2024","2024","7021","Annual value","USD","1516.8","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01510","Potatoes","2024","2024","7021","Annual value","USD","579","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2024","2024","7021","Annual value","USD","1070","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2024","2024","7021","Annual value","USD","788.8","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","0113","Rice","2024","2024","7021","Annual value","USD","1927.9","A","Official figure"
"PP","Producer Prices","064","Bhutan","5532","Producer Price (USD/tonne)","01234","Tomatoes","2024","2024","7021","Annual value","USD","1053.8","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01341","Apples","2024","2024","7021","Annual value","USD","830.8","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01312","Bananas","2024","2024","7021","Annual value","USD","570.8","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","306.2","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01212","Cabbages","2024","2024","7021","Annual value","USD","329.7","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2024","2024","7021","Annual value","USD","509.4","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01610","Coffee, green","2024","2024","7021","Annual value","USD","469.6","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01657","Ginger, raw","2024","2024","7021","Annual value","USD","536.1","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01252","Green garlic","2024","2024","7021","Annual value","USD","1184.6","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2024","2024","7021","Annual value","USD","2478.2","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01922.01","Jute, raw or retted","2024","2024","7021","Annual value","USD","492.1","A","Official figure"
"PP","Producer Prices","524","Nepal","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2024","2024","7021","Annual value","USD","1022.4","A","Official figure"
