Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01701","Beans, dry","2024","2024","7021","Annual value","USD","1089.3","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2024","2024","7021","Annual value","USD","215.4","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","407.5","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","0118","Millet","2024","2024","7021","Annual value","USD","809.8","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01239.01","Okra","2024","2024","7021","Annual value","USD","706.1","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01290.90","Other vegetables, fresh n.e.c.","2024","2024","7021","Annual value","USD","447.7","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01510","Potatoes","2024","2024","7021","Annual value","USD","1379.2","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","0113","Rice","2024","2024","7021","Annual value","USD","717.6","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","0114","Sorghum","2024","2024","7021","Annual value","USD","596.8","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01530","Sweet potatoes","2024","2024","7021","Annual value","USD","335.2","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01550","Taro","2024","2024","7021","Annual value","USD","510","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01234","Tomatoes","2024","2024","7021","Annual value","USD","776.5","A","Official figure"
"PP","Producer Prices","204","Benin","5532","Producer Price (USD/tonne)","01540","Yams","2024","2024","7021","Annual value","USD","475.9","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01312","Bananas","2024","2024","7021","Annual value","USD","1134.5","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01212","Cabbages","2024","2024","7021","Annual value","USD","1064.5","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2024","2024","7021","Annual value","USD","2418.9","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2024","2024","7021","Annual value","USD","2818.3","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2024","2024","7021","Annual value","USD","1631.1","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01214","Lettuce and chicory","2024","2024","7021","Annual value","USD","2650.2","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","784.5","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","7021","Annual value","USD","12863.2","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","21121","Meat of chickens, fresh or chilled","2024","2024","7021","Annual value","USD","6385.1","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","21116","Meat of goat, fresh or chilled","2024","2024","7021","Annual value","USD","10516.6","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","21116b","Meat of goat, fresh or chilled (biological)","2024","2024","7021","Annual value","USD","9495.3","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","7021","Annual value","USD","6872","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","7021","Annual value","USD","1113.1","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2024","2024","7021","Annual value","USD","3672.8","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01510","Potatoes","2024","2024","7021","Annual value","USD","2792.5","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2024","2024","7021","Annual value","USD","1606.2","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2024","2024","7021","Annual value","USD","1565.9","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","02292","Raw milk of goats","2024","2024","7021","Annual value","USD","1337.1","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01530","Sweet potatoes","2024","2024","7021","Annual value","USD","1083.8","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01234","Tomatoes","2024","2024","7021","Annual value","USD","1800","A","Official figure"
"PP","Producer Prices","132","Cabo Verde","5532","Producer Price (USD/tonne)","01221","Watermelons","2024","2024","7021","Annual value","USD","1753","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01372","Cashew nuts, in shell","2024","2024","7021","Annual value","USD","453.5","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2024","2024","7021","Annual value","USD","292.7","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2024","2024","7021","Annual value","USD","2544.8","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01610","Coffee, green","2024","2024","7021","Annual value","USD","1487.6","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2024","2024","7021","Annual value","USD","437","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01233","Eggplants (aubergines)","2024","2024","7021","Annual value","USD","646.5","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01193","Fonio","2024","2024","7021","Annual value","USD","393.8","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01657","Ginger, raw","2024","2024","7021","Annual value","USD","554.1","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","0142","Groundnuts, excluding shelled","2024","2024","7021","Annual value","USD","483.2","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","468.4","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","0118","Millet","2024","2024","7021","Annual value","USD","677.2","A","Official figure"
"PP","Producer Prices","384","Côte d'Ivoire","5532","Producer Price (USD/tonne)","01950.01","Natural rubber in primary forms","2024","2024","7021","Annual value","USD","605.3","A","Official figure"
